                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.47415,                0.46681,                 1.0416,                0.88791,                   0.86,                0.87693,                0.73033,                0.54889,                0.43775,                0.97604,              0.0004387,              0.0004387,              0.0004387
                     37,                0.46878,                0.45447,                 1.0357,                0.87589,                0.84965,                0.87814,                0.71681,                 0.5413,                 0.4406,                0.99153,             0.00041041,             0.00041041,             0.00041041
                     38,                0.46451,                0.45159,                 1.0367,                0.91044,                0.84809,                0.88251,                0.73179,                0.53199,                 0.4357,                0.97221,             0.00038211,             0.00038211,             0.00038211
                     39,                0.46399,                0.44935,                 1.0356,                0.88587,                0.86061,                0.88169,                0.72599,                0.53784,                0.43952,                0.96983,             0.00035382,             0.00035382,             0.00035382
                     40,                0.45632,                0.44269,                 1.0305,                 0.9082,                0.82415,                0.88238,                0.74015,                0.54027,                0.43788,                0.97637,             0.00032553,             0.00032553,             0.00032553
                     41,                0.49454,                0.37364,                 1.0577,                0.90761,                0.84624,                0.87305,                0.70709,                0.54458,                0.44753,                0.97847,             0.00029723,             0.00029723,             0.00029723
                     42,                0.48259,                0.35452,                 1.0424,                0.92122,                0.81306,                0.87008,                0.72648,                0.52797,                0.44431,                 0.9708,             0.00026894,             0.00026894,             0.00026894
                     43,                0.47267,                0.34597,                 1.0374,                0.87488,                0.86555,                0.88314,                0.73438,                0.50211,                0.43521,                0.95107,             0.00024064,             0.00024064,             0.00024064
                     44,                0.46322,                0.33941,                 1.0295,                0.90273,                0.85614,                0.88512,                0.74573,                 0.5036,                0.43139,                0.94563,             0.00021235,             0.00021235,             0.00021235
                     45,                0.45738,                0.33505,                 1.0277,                0.87458,                0.86769,                0.88106,                0.74445,                0.51095,                0.44199,                0.95383,             0.00018406,             0.00018406,             0.00018406
                     46,                  0.448,                0.32436,                  1.021,                0.88272,                 0.8303,                0.87732,                0.73884,                0.50565,                0.43327,                0.96156,             0.00015576,             0.00015576,             0.00015576
                     47,                0.44086,                0.31626,                 1.0139,                0.88286,                0.87313,                0.87887,                0.73878,                0.50462,                0.43485,                0.95395,             0.00012747,             0.00012747,             0.00012747
                     48,                0.43586,                0.31056,                 1.0124,                0.87532,                 0.8482,                0.87665,                0.74715,                0.50338,                0.43497,                0.96115,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.43335,                0.30622,                 1.0083,                 0.8734,                0.84562,                0.87629,                0.74368,                0.50317,                0.42689,                0.96015,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.43325,                0.30774,                 1.0137,                0.89975,                0.84933,                0.88196,                0.73717,                0.49878,                0.42731,                0.95044,             4.2584e-05,             4.2584e-05,             4.2584e-05
